"4000-28241";"TEACH-PENDANT-TP5000";"5m";"S";"";"";"";"";"";"";"x";"x";"";"";"";"";"x";"x";"";"";"";"";"";"";"x";"";"";"";"x";"";"";"";"";"";"";""
"4000-28242";"TEACH-PENDANT-OP5000-1";"3m";"S";"";"";"";"";"";"";"x";"x";"";"";"";"";"x";"x";"x";"";"x";"x";"";"";"x";"";"";"";"x";"";"";"";"";"";"";""
"4000-28244";"TEACH-PENDANT-5M-OP5000-1012";"5m";"S";"";"";"";"";"";"";"x";"x";"";"";"";"";"x";"x";"x";"";"x";"x";"";"";"x";"";"";"";"x";"";"";"";"";"";"";""
"2017-10090";"BG-CMU-MAINSWITCH";"CMU";"";"";"";"";"";"";"";"x";"x";"";"";"";"";"";"";"";"";"";"";"";"";"x";"";"";"";"";"";"x";"";"";"";"";""
"7321-37069";"NETZFILTER-20A-B84112BB120";"CMU";"";"";"";"";"";"";"";"";"x";"";"";"";"";"";"";"";"";"";"";"";"";"x";"";"";"";"";"";"x";"";"";"";"";""
"7217-22003";"FI-SCHALTER-20A-300MA";"CMU";"";"";"";"";"";"";"";"";"x";"";"";"";"";"";"";"";"";"";"";"";"";"x";"";"";"";"";"";"x";"";"";"";"";""
"7300-30102";"NETZTEIL12V2.5A";"CMU";"";"";"";"";"";"";"";"";"x";"";"";"";"";"";"";"";"";"";"";"";"";"x";"";"";"";"";"";"x";"";"";"";"";""
"7324-10241";"NETZTEIL24V10A";"CMU";"";"";"";"";"";"";"";"";"x";"";"";"";"";"";"";"";"";"";"";"";"";"x";"";"";"";"";"";"x";"";"";"";"";""
"7324-12000";"NETZTEIL24V5A";"CMU";"";"";"";"";"";"";"";"";"x";"";"";"";"";"";"";"";"";"";"";"";"";"x";"";"";"";"";"";"x";"";"";"";"";""
"7307-51104";"SCHALTGERAET-SC4";"CMU";"";"";"";"";"";"";"";"";"x";"";"";"";"";"";"";"";"";"";"";"";"";"x";"";"";"";"";"";"x";"";"";"";"";""
"7001-23001";"SCHUETZ-AL12-30-01";"CMU";"";"";"";"";"";"";"";"";"x";"";"";"";"";"";"";"";"";"";"";"";"";"x";"";"";"";"";"";"x";"";"";"";"";""
"7711-69327";"RELAIS48-61";"CMU";"";"";"";"";"";"";"";"";"x";"";"";"";"";"";"";"";"";"";"";"";"";"x";"";"";"";"";"";"x";"";"";"";"";""
"7732-97409";"RELAIS-S48.51-1POL-10A-24V.DC";"CMU";"";"";"";"";"";"";"";"";"x";"";"";"";"";"";"";"";"";"";"";"";"";"x";"";"";"";"";"";"x";"";"";"";"";""
"7367-21420";"CPU224XP";"CMU";"";"";"";"";"";"x";"";"x";"x";"";"";"";"";"";"x";"";"x";"";"";"";"";"x";"";"";"";"";"";"x";"";"";"";"";""
"7367-22200";"DIGITALAUSGABE";"CMU";"";"";"";"";"";"x";"";"x";"x";"";"";"";"";"";"x";"";"x";"";"";"";"";"x";"";"";"";"";"";"x";"";"";"";"";""
"7167-90100";"KABEL-PC/PPI";"CMU";"";"";"";"";"";"x";"";"x";"x";"";"";"";"";"";"x";"";"x";"";"";"";"";"x";"";"";"";"";"";"x";"";"";"";"";""
"7000-00235";"LAUTSPRECHER";"CMU";"";"";"";"";"";"x";"";"x";"x";"";"";"";"";"";"x";"";"x";"";"";"";"";"x";"";"";"";"";"";"x";"";"";"";"";""
"7018-85492";"EINSTELLREGLER-10K-LIN-3W-PE30";"CMU";"";"";"";"";"";"x";"";"x";"x";"";"";"";"";"";"x";"";"x";"";"";"";"";"x";"";"";"";"";"";"x";"";"";"";"";""
"4111-53475";"ABSPERRVENTIL-HE-3-QS-6-3/2";"CMU";"";"";"";"";"";"";"";"x";"x";"";"";"";"";"";"x";"";"";"";"";"";"x";"";"";"";"";"";"";"x";"";"";"";"";""
"4111-53468";"ABSPERRVENTIL-HE-2-QS-8-2/2";"CMU";"";"";"";"";"";"x";"";"x";"x";"";"";"";"";"";"x";"";"";"";"";"";"x";"";"";"";"";"";"";"x";"";"";"";"";""
"4111-53464";"RUECKSCHLAGVENTIL";"CMU";"";"";"";"";"";"x";"";"";"";"";"";"";"";"";"x";"";"";"";"";"";"x";"";"";"";"";"";"";"x";"";"";"";"";""
"4115-29424";"DRUCKREGELVENTIL-MS4-LR-1/8-D6";"CMU";"";"";"";"";"";"";"";"x";"x";"";"";"";"";"";"x";"";"";"";"";"";"x";"";"";"";"";"";"x";"x";"";"";"";"";""
"4115-29973";"DRUCKSENSOR-SDE1-V1-24V-VS1";"CMU";"";"";"";"";"";"";"";"x";"x";"";"";"";"";"";"x";"";"";"";"";"";"";"x";"";"";"";"";"";"x";"";"";"";"";""
"4115-29961";"DRUCKSENSOR-SDE1-D10-G2-H18-L";"CMU";"";"";"";"";"";"";"";"x";"x";"";"";"";"";"";"x";"";"";"";"";"";"";"x";"";"";"";"";"";"x";"";"";"";"";""
"2050-00006";"BG-CMU-PB-BEDIENFELD-V6";"CMU";"";"";"";"";"";"x";"";"x";"";"";"";"";"";"";"x";"";"x";"";"";"";"";"x";"";"";"";"";"";"x";"";"";"";"";""
"2050-00007";"BG-CMU-PB-BEDIENFELD-V7";"CMU";"";"";"";"";"";"x";"";"x";"x";"";"";"";"";"";"x";"";"x";"";"";"";"";"x";"";"";"";"";"";"x";"";"";"";"";""
"2050-00122";"CMU-VERTEILERBOX ";"CMU";"";"";"";"";"";"x";"";"x";"x";"";"";"";"";"";"x";"";"x";"";"";"";"";"x";"";"";"";"";"";"x";"";"";"";"";""
"2017-10193";"BG-CMU-VERTEILERBOX-MIK ";"CMU";"";"";"";"";"";"";"";"x";"x";"";"";"";"";"";"";"";"";"";"";"";"";"x";"";"";"";"";"";"x";"";"";"";"";""
"7473-02033";"TASTATUR-US-USB-KL2033-GETT ";"";"";"";"";"";"";"x";"";"x";"x";"";"";"";"";"";"";"";"";"";"";"";"";"x";"";"";"";"";"";"x";"";"";"";"";""
"2063-20224";"BEDIENPULT-MIKRO-AT300";"";"";"";"";"";"";"";"";"x";"x";"";"";"";"";"";"";"";"";"";"";"";"";"x";"x";"";"";"";"";"";"";"";"";"";""
"2063-20234";"BEDIENPULT-PC-STAGE";"";"";"";"";"";"";"x";"";"x";"x";"";"";"";"";"";"";"";"";"";"";"";"";"x";"";"";"";"";"x";"x";"";"";"";"";""
"7600-19141";"DELL-MON-19TFTMONITOR-E1913S";"";"";"";"";"";"";"x";"";"x";"x";"";"";"";"";"";"x";"";"x";"";"";"";"";"x";"";"";"";"";"";"x";"";"";"";"";""
"7600-19142";"DELL-MON-19TFTMONITOR-P1914S";"";"";"";"";"";"";"";"";"";"x";"";"";"";"";"";"";"";"";"";"";"";"";"x";"";"";"";"";"";"x";"";"";"";"";""
"4452-43026";"MONITORARM-WAND-LX-45-243-026";"";"";"";"";"";"";"x";"";"x";"x";"x";"x";"";"";"";"";"";"";"";"";"";"x";"";"";"";"";"";"";"";"x";"";"";"";""
"9004-43855 ";"E84-CONTROLLER-2P-E23";"E84";"";"";"";"";"";"";"x";"x";"x";"";"";"";"";"";"";"";"";"";"";"";"";"x";"";"";"";"x";"";"";"x";"";"";"";""
"9004-43854";"E84-CONTROLLER-4P-E23";"E84";"";"";"";"";"";"";"x";"x";"";"";"";"";"";"";"";"";"";"";"";"";"";"x";"";"";"";"x";"";"";"x";"";"";"";""
"9004-43856";"E84-NETZTEIL";"E84";"";"";"";"";"";"";"x";"x";"x";"";"";"";"";"";"";"";"";"";"";"";"";"x";"";"";"";"x";"";"";"x";"";"";"";""
"9004-43857";"HOKOYO-E84-DMS-HB1-Z05-OHT";"E84";"";"";"";"";"";"";"";"x";"x";"";"";"";"";"";"x";"x";"";"";"";"";"";"x";"";"";"";"x";"";"";"x";"";"";"";""
"9004-43864";"ADAPTER-Z-TYPE.HOKOYO-SENSOR84";"E84";"";"";"";"";"";"";"";"x";"x";"";"";"";"";"";"x";"x";"";"";"";"";"";"x";"";"";"";"x";"";"";"x";"";"";"";""
"9004-43862";"HOKOYO-E84-DMS-HB1-V-OH";"E84";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"x";"";"";"";"x";"";"";"x";"";"";"";""
"9004-43860";"HOKOYO-E84-DMS-HB1-Z-AGV";"E84";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"x";"";"";"";"x";"";"";"x";"";"";"";""
