EDPConsole (by Sven Ginka)
test á oder  test
orig>tables
AnsiToUTF8>tables
UTF8ToAnsi>tables
orig>*
AnsiToUTF8>*
UTF8ToAnsi>*
tabellen bersicht
LOG>connected
LOG>abas Version 2010r4n07
LOG>lang code:D
LOG>iso code:de
LOG>lang var:de
LOG>trim values:1
LOG>rec size:362
DATA>name,desc,num,type,typestr,databasenr,databasename,groupbits,groupnrs,groupnames,hastable,aliveflag
DATA>#Buchungsjournal:Buchungszeile statistische Buchung#Buchungszeile statistische Buchung (Buchungsjournal)#131:1#1#Selektions-Leiste#131#Buchungsjournal#2#1#Buchungszeile statistische Buchung#1#9
DATA>#Arten:Real#Real (Arten)#132:1#1#Selektions-Leiste#132#Arten#2#1#Real#0#9
DATA>#Ablaufbeschreibung:Ablaufbeschreibung#Ablaufbeschreibung (Ablaufbeschreibung)#133:1#1#Selektions-Leiste#133#Ablaufbeschreibung#2#1#Ablaufbeschreibung#1#9
DATA>#Ablaufbeschreibung:Ablaufzustand#Ablaufzustand (Ablaufbeschreibung)#133:2#1#Selektions-Leiste#133#Ablaufbeschreibung#4#2#Ablaufzustand#0#9
DATA>#Notizen:Notiz#Notiz (Notizen)#134:1#1#Selektions-Leiste#134#Notizen#2#1#Notiz#0#9
DATA>#Kostenumlage:Kostenumlage#Kostenumlage (Kostenumlage)#135:1#1#Selektions-Leiste#135#Kostenumlage#2#1#Kostenumlage#1#9
DATA>#WEB-Container:HTML-Container#HTML-Container (WEB-Container)#136:1#1#Selektions-Leiste#136#WEB-Container#2#1#HTML-Container#1#9
DATA>#WEB-Container:Dokument-Container#Dokument-Container (WEB-Container)#136:2#1#Selektions-Leiste#136#WEB-Container#4#2#Dokument-Container#0#9
DATA>#WEB-Container:Medientyp#Medientyp (WEB-Container)#136:3#1#Selektions-Leiste#136#WEB-Container#8#3#Medientyp#0#9
DATA>#WEB-Container:MIME-Typ#MIME-Typ (WEB-Container)#136:4#1#Selektions-Leiste#136#WEB-Container#16#4#MIME-Typ#1#9
DATA>#Kalender:Dispokalender#Dispokalender (Kalender)#137:1#1#Selektions-Leiste#137#Kalender#2#1#Dispokalender#1#9
DATA>#Kalender:Kapazitätsangebot#Kapazitätsangebot (Kalender)#137:2#1#Selektions-Leiste#137#Kalender#4#2#Kapazitätsangebot#1#9
DATA>#SEL-TEILE#Stammdatenpflege Artikel / Parameter#148#1#Selektions-Leiste#2#Teil#2#1#Artikel#0#9
DATA>#SE-VK-KOPF#Verkauf Lieferscheine Kopf#3391#1#Selektions-Leiste#3#Verkauf#8388608#23#Lieferschein#0#9
DATA>#SKI-AR-RE#Ausgangsrechnung#2245#1#Selektions-Leiste#3#Verkauf#16777216#24#Rechnung#0#3
DATA>#SEL-VK-KOP#Verkauf aufträge Kopf#3390#1#Selektions-Leiste#3#Verkauf#2#1#Verkauf#0#9
DATA>#SE-VK-PO-A#Verkauf Artikel Position Angebote#2255#1#Selektions-Leiste#3#Verkauf#4#2#Position#0#9
DATA>#SE-VK-PO-R#Verkauf Artikel Position Rechnung#4789#1#Selektions-Leiste#3#Verkauf#4#2#Position#0#2
DATA>#SEL-VK-WIE#Angebots mit Wiedervorlage Datum#2300#1#Selektions-Leiste#3#Verkauf#2097152#21#Angebot#0#9
DATA>#SE-VK-LS-P#Verkauf Lieferscheine Position#3392#1#Selektions-Leiste#3#Verkauf#4#2#Position#0#9
DATA>#SE-EK.RECH#eingangsrechnung einkauf#217#1#Selektions-Leiste#4#Einkauf#2#1#Einkauf#0#1
DATA>#SE-EK.BEST#Einkauf Bestellung Kopf#2306#1#Selektions-Leiste#4#Einkauf#4194304#22#Bestellung#0#1
DATA>#S-EINKAUF#Einkauf hauptselektion#2243#1#Selektions-Leiste#4#Einkauf#2#1#Einkauf#0#1
DATA>#SEL-EINKAU#Einkauf Position bestellung,lieferschein,rechnung#2273#1#Selektions-Leiste#4#Einkauf#4#2#Position#0#9
DATA>#SEL-ER-ALL#eingangsrechnung auch Ablage#2327#1#Selektions-Leiste#4#Einkauf#2#1#Einkauf#0#3
DATA>#SEL-HANDY#Einkauf Position rechnung handy vodafon#4661#1#Selektions-Leiste#4#Einkauf#4#2#Position#0#3
DATA>#S-EK-PO-RE#Einkauf Position Rechnung 33,33#4790#1#Selektions-Leiste#4#Einkauf#4#2#Position#0#2
DATA>#SEL-EKP-LZ#lieferzeit im Einkauf#4811#1#Selektions-Leiste#4#Einkauf#4#2#Position#0#2
DATA>#SEL-EINK-W#Einkauf Position rechnung Warengruppe#3360#1#Selektions-Leiste#4#Einkauf#4#2#Position#0#9
DATA>#SEL-KTR#SEL-Kostenträger#236#1#Selektions-Leiste#5#Konto#16#4#Kostenträger#0#9
DATA>#SEL-RUECKM#Rückmeldung,(Betriebsaufträge mehr Felder#3318#1#Selektions-Leiste#9#Betr-Auftrag#4#2#Rückmeldungen#1#9
DATA>#SEL-TEXTE#Firma-kurztexte intrastat Tabelle 12:3#3310#1#Selektions-Leiste#12#Firma#8#3#Kurztext#0#9
DATA>#SEL-NIDEK#Selektion nach Lagergruppeneigenschaften#251#1#Selektions-Leiste#39#Lager#8#3#Lagergruppeneigenschaft#0#9
DATA>#SEL-INVENT#Zähllistenpositionen in Inventur#241#1#Selektions-Leiste#56#Inventur#2#1#Inventur#0#9
DATA>#SEL-CHARGE#chargen#3219#1#Selektions-Leiste#59#Chargen#1#0#Chargen#0#9
DATA>#KURSE#zas kurse usd jpy euro#2297#1#Selektions-Leiste#95#Währungskurs#2#1#Währungskurs#0#9
LOG>rec size:362
LOG>data size:5000
LOG>field count:12
LOG>disconnected
bye
