EDPConsole (by Sven Ginka)
test á oder  test
orig>tables
AnsiToUTF8>tables
UTF8ToAnsi>tables
orig>*
AnsiToUTF8>*
UTF8ToAnsi>*
tabellen bersicht
LOG>connected
LOG>abas Version 2010r4n07
LOG>lang code:D
LOG>iso code:de
LOG>lang var:de
LOG>trim values:1
LOG>rec size:362
DATA>name,desc,num,type,typestr,databasenr,databasename,groupbits,groupnrs,groupnames,hastable,aliveflag
DATA>#Mitarbeiter:Bewegungsdaten#Bewegungsdaten (Mitarbeiter)#11:3#1#Selektions-Leiste#11#Mitarbeiter#8#3#Bewegungsdaten#0#9
DATA>#Firma:Kurztext#Kurztext (Firma)#12:3#1#Selektions-Leiste#12#Firma#8#3#Kurztext#0#9
DATA>#Firma:Zahlungsbedingung#Zahlungsbedingung (Firma)#12:8#1#Selektions-Leiste#12#Firma#256#8#Zahlungsbedingung#1#9
DATA>#Firma:Rechnungsstellung#Rechnungsstellung (Firma)#12:2#1#Selektions-Leiste#12#Firma#4#2#Rechnungsstellung#1#9
DATA>#Firma:Werkstoff#Werkstoff (Firma)#12:4#1#Selektions-Leiste#12#Firma#16#4#Werkstoff#0#9
DATA>#Firma:Materialzuschlagskopf#Materialzuschlagskopf (Firma)#12:5#1#Selektions-Leiste#12#Firma#32#5#Materialzuschlagskopf#0#9
DATA>#Firma:Gemeinkostensätze#Gemeinkostensätze (Firma)#12:6#1#Selektions-Leiste#12#Firma#64#6#Gemeinkostensätze#0#9
DATA>#Firma:Nummernzähler#Nummernzähler (Firma)#12:9#1#Selektions-Leiste#12#Firma#512#9#Nummernzähler#0#9
DATA>#Firma:Ländertabelle#Ländertabelle (Firma)#12:19#1#Selektions-Leiste#12#Firma#524288#19#Ländertabelle#1#9
DATA>#Firma:Tagesplan#Tagesplan (Firma)#12:20#1#Selektions-Leiste#12#Firma#1048576#20#Tagesplan#1#9
DATA>#Firma:Schichtplan#Schichtplan (Firma)#12:21#1#Selektions-Leiste#12#Firma#2097152#21#Schichtplan#1#9
DATA>#Firma:Zolltabelle#Zolltabelle (Firma)#12:22#1#Selektions-Leiste#12#Firma#4194304#22#Zolltabelle#1#9
DATA>#Firma:Selektionsrohling#Selektionsrohling (Firma)#12:24#1#Selektions-Leiste#12#Firma#16777216#24#Selektionsrohling#1#9
DATA>#Firma:Vartab#Vartab (Firma)#12:26#1#Selektions-Leiste#12#Firma#67108864#26#Vartab#1#9
DATA>#Firma:Verweis-Darstellung#Verweis-Darstellung (Firma)#12:27#1#Selektions-Leiste#12#Firma#134217728#27#Verweis-Darstellung#1#9
DATA>#Firma:Schlüsseltabelle#Schlüsseltabelle (Firma)#12:31#1#Selektions-Leiste#12#Firma#2147483648#31#Schlüsseltabelle#1#9
DATA>#Firma:Konfiguration#Konfiguration (Firma)#12:18#1#Selektions-Leiste#12#Firma#262144#18#Konfiguration#0#9
DATA>#Firma:Betriebsdaten#Betriebsdaten (Firma)#12:10#1#Selektions-Leiste#12#Firma#1024#10#Betriebsdaten#1#9
DATA>#Firma:Paßwort#Paßwort (Firma)#12:11#1#Selektions-Leiste#12#Firma#2048#11#Paßwort#1#9
DATA>#Firma:Termine#Termine (Firma)#12:12#1#Selektions-Leiste#12#Firma#4096#12#Termine#1#9
DATA>#Firma:Lohngruppen#Lohngruppen (Firma)#12:13#1#Selektions-Leiste#12#Firma#8192#13#Lohngruppen#1#9
DATA>#Firma:Lohnarten#Lohnarten (Firma)#12:14#1#Selektions-Leiste#12#Firma#16384#14#Lohnarten#0#9
DATA>#Firma:Materialbewertungen#Materialbewertungen (Firma)#12:15#1#Selektions-Leiste#12#Firma#32768#15#Materialbewertungen#1#9
DATA>#Firma:Kurstabelle#Kurstabelle (Firma)#12:16#1#Selektions-Leiste#12#Firma#65536#16#Kurstabelle#1#9
DATA>#Firma:Kontenrahmen#Kontenrahmen (Firma)#12:7#1#Selektions-Leiste#12#Firma#128#7#Kontenrahmen#1#9
DATA>#Firma:Steuerumstellungen#Steuerumstellungen (Firma)#12:0#1#Selektions-Leiste#12#Firma#1#0#Steuerumstellungen#1#9
DATA>#Firma:Warengruppe#Warengruppe (Firma)#12:28#1#Selektions-Leiste#12#Firma#268435456#28#Warengruppe#0#9
DATA>#Firma:Produktgruppe#Produktgruppe (Firma)#12:29#1#Selektions-Leiste#12#Firma#536870912#29#Produktgruppe#0#9
DATA>#Firma:Einheitentabelle#Einheitentabelle (Firma)#12:30#1#Selektions-Leiste#12#Firma#1073741824#30#Einheitentabelle#1#9
DATA>#Post:Nachricht#Nachricht (Post)#16:1#1#Selektions-Leiste#16#Post#2#1#Nachricht#1#9
DATA>#Post:Benutzer#Benutzer (Post)#16:4#1#Selektions-Leiste#16#Post#16#4#Benutzer#1#9
DATA>#Post:Verteiler#Verteiler (Post)#16:8#1#Selektions-Leiste#16#Post#256#8#Verteiler#1#9
DATA>#Post:Stichwort#Stichwort (Post)#16:3#1#Selektions-Leiste#16#Post#8#3#Stichwort#0#9
DATA>#BDE:Personalzeit#Personalzeit (BDE)#17:1#1#Selektions-Leiste#17#BDE#2#1#Personalzeit#0#9
DATA>#BDE:Auftragszeit#Auftragszeit (BDE)#17:2#1#Selektions-Leiste#17#BDE#4#2#Auftragszeit#0#9
DATA>#BDE:Kurzläufer#Kurzläufer (BDE)#17:4#1#Selektions-Leiste#17#BDE#16#4#Kurzläufer#0#9
DATA>#Stammdaten:Projekt#Projekt (Stammdaten)#20:1#1#Selektions-Leiste#20#Stammdaten#2#1#Projekt#1#9
DATA>#Stammdaten:Druck#Druck (Stammdaten)#20:2#1#Selektions-Leiste#20#Stammdaten#4#2#Druck#1#9
DATA>#Stammdaten:Textbausteine#Textbausteine (Stammdaten)#20:6#1#Selektions-Leiste#20#Stammdaten#64#6#Textbausteine#1#9
DATA>#Vorgangsart:Vorgangsart#Vorgangsart (Vorgangsart)#21:0#1#Selektions-Leiste#21#Vorgangsart#1#0#Vorgangsart#1#9
DATA>#Auftrags-STL:Auftrags-STL#Auftrags-STL (Auftrags-STL)#22:0#1#Selektions-Leiste#22#Auftrags-STL#1#0#Auftrags-STL#1#9
DATA>#Leistungsart:Leistungsart#Leistungsart (Leistungsart)#24:0#1#Selektions-Leiste#24#Leistungsart#1#0#Leistungsart#1#9
DATA>#Leistungsart:Verrechnungssatz#Verrechnungssatz (Leistungsart)#24:1#1#Selektions-Leiste#24#Leistungsart#2#1#Verrechnungssatz#1#9
DATA>#Leistung:Leistung#Leistung (Leistung)#26:0#1#Selektions-Leiste#26#Leistung#1#0#Leistung#1#9
DATA>#Anlage:Anlage#Anlage (Anlage)#27:1#1#Selektions-Leiste#27#Anlage#2#1#Anlage#1#9
DATA>#Anlage:Anlagekategorie#Anlagekategorie (Anlage)#27:2#1#Selektions-Leiste#27#Anlage#4#2#Anlagekategorie#1#9
DATA>#Anlage:Verkehrszahlen#Verkehrszahlen (Anlage)#27:3#1#Selektions-Leiste#27#Anlage#8#3#Verkehrszahlen#1#9
DATA>#Anlage:Abschreibungsart#Abschreibungsart (Anlage)#27:4#1#Selektions-Leiste#27#Anlage#16#4#Abschreibungsart#1#9
DATA>#Anlage:Abschreibungsvorschlag#Abschreibungsvorschlag (Anlage)#27:5#1#Selektions-Leiste#27#Anlage#32#5#Abschreibungsvorschlag#1#9
DATA>#Anlage:Anlage (kalkulatorisch)#Anlage (kalkulatorisch) (Anlage)#27:6#1#Selektions-Leiste#27#Anlage#64#6#Anlage (kalkulatorisch)#1#9
DATA>#Anlage:Indexreihe#Indexreihe (Anlage)#27:7#1#Selektions-Leiste#27#Anlage#128#7#Indexreihe#1#9
DATA>#Anlage:Anlagenvorgang#Anlagenvorgang (Anlage)#27:9#1#Selektions-Leiste#27#Anlage#512#9#Anlagenvorgang#0#9
DATA>#Anlage:AnBu-Konfiguration#AnBu-Konfiguration (Anlage)#27:8#1#Selektions-Leiste#27#Anlage#256#8#AnBu-Konfiguration#0#9
